,0,1,2,3,4,5
"(1, '1,0')",15.67,4.0,3.0,6.0,,
"(1, '15,2')",51.67,,,,,
"(1, '12,1')",61.63,4.0,,,,
"(1, '10,0')",70.28,1.0,,,,
"(1, '8,0')",75.65,2.0,,,,
"(1, '8,1')",75.65,2.0,,,,
"(1, '9,0')",78.05,2.0,,,,
"(1, '13,1')",88.3,6.0,,,,
"(1, '15,0')",96.35,,,,,
"(1, '14,1')",101.15,3.0,,,,
"(1, '13,0')",105.48,1.0,,,,
"(1, '13,3')",105.48,1.0,,,,
"(1, '14,0')",109.81,,,,,
"(1, '15,1')",114.61,1.0,,,,
"(1, '12,0')",124.21,,,,,
"(1, '13,2')",128.54,2.0,,,,
"(1, '15,3')",136.59,,,,,
"(1, '15,4')",136.59,1.0,1.0,,,
"(1, '8,2')",155.79,,,,,
"(1, '3,0')",168.32,,,,,
"(1, '6,0')",180.14,1.0,,,,
"(1, '6,1')",180.14,2.0,,,,
"(1, '3,1')",191.96,2.0,,,,
"(1, '3,2')",191.96,7.0,,,,
"(1, '15,5')",223.37,,,,,
"(2, '9,0')",19.2,4.0,3.0,,,
"(2, '15,3')",36.0,,,,,
"(2, '10,0')",53.47,2.0,,,,
"(2, '15,0')",70.94,,,,,
"(2, '14,1')",75.74,4.0,,,,
"(2, '13,0')",80.07,1.0,,,,
"(2, '14,0')",84.4,3.0,,,,
"(2, '7,0')",100.72,3.0,2.0,,,
"(2, '2,0')",117.78,3.0,,,,
"(2, '2,1')",117.78,4.0,1.0,,,
"(2, '15,1')",151.91,1.0,,,,
"(2, '10,1')",169.38,,,,,
"(2, '6,0')",184.75,2.0,,,,
"(2, '6,1')",184.75,4.0,,,,
"(2, '3,0')",196.57,1.0,,,,
"(2, '15,2')",227.98,,,,,
"(3, '8,0')",17.76,1.0,1.0,,,
"(3, '15,2')",36.96,,,,,
"(3, '14,0')",44.66,7.0,,,,
"(3, '11,0')",56.21,4.0,,,,
"(3, '10,0')",62.21,5.0,,,,
"(3, '13,0')",74.97,3.0,,,,
"(3, '13,1')",74.97,1.0,,,,
"(3, '15,0')",85.45,1.0,,,,
"(3, '12,0')",95.05,3.0,,,,
"(3, '5,0')",111.85,3.0,2.0,,,
"(3, '2,0')",121.22,3.0,,,,
"(3, '2,1')",121.22,1.0,,,,
"(3, '5,1')",130.59,1.0,,,,
"(3, '5,2')",130.59,2.0,,,,
"(3, '7,0')",138.27,2.0,,,,
"(3, '7,1')",138.27,1.0,,,,
"(3, '4,0')",150.09,2.0,,,,
"(3, '15,1')",181.29,,,,,
"(3, '6,0')",208.65,2.0,,,,
"(3, '15,3')",236.01,,,,,
"(4, '2,1')",19.61,4.0,5.0,6.0,,
"(4, '15,2')",53.74,,,,,
"(4, '13,0')",62.07,2.0,,,,
"(4, '11,0')",76.5,5.0,,,,
"(4, '11,1')",82.64,4.0,,,,
"(4, '10,0')",88.64,1.0,,,,
"(4, '12,0')",97.29,3.0,,,,
"(4, '15,0')",106.89,,,,,
"(4, '14,0')",111.69,3.0,,,,
"(4, '5,0')",133.29,2.0,,,,
"(4, '2,0')",142.66,2.0,,,,
"(4, '4,0')",149.12,2.0,,,,
"(4, '4,1')",149.12,3.0,,,,
"(4, '6,0')",157.77,5.0,,,,
"(4, '15,1')",185.13,,,,,
"(4, '3,0')",216.54,2.0,,,,
"(4, '15,3')",247.95,,,,,
"(5, '2,1')",36.97,1.0,2.0,4.0,,
"(5, '15,2')",71.1,1.0,,,,
"(5, '14,0')",75.9,4.0,,,,
"(5, '12,0')",80.7,4.0,,,,
"(5, '9,1')",91.33,6.0,4.0,,,
"(5, '10,0')",96.13,2.0,,,,
"(5, '15,0')",113.6,1.0,,,,
"(5, '3,0')",145.01,,,,,
"(5, '2,0')",148.4,4.0,,,,
"(5, '4,0')",154.86,2.0,,,,
"(5, '4,1')",154.86,1.0,,,,
"(5, '6,0')",163.51,2.0,,,,
"(5, '6,1')",163.51,3.0,,,,
"(5, '9,0')",175.51,4.0,,,,
"(5, '15,1')",192.31,,,,,
"(5, '3,1')",223.72,3.0,,,,
"(5, '15,3')",255.13,,,,,
"(6, '8,2')",16.8,1.0,,,,
"(6, '15,3')",36.0,,,,,
"(6, '13,0')",44.05,3.0,,,,
"(6, '9,0')",54.83,3.0,,,,
"(6, '8,1')",57.23,3.0,2.0,,,
"(6, '7,0')",64.69,3.0,,,,
"(6, '7,1')",69.25,3.0,,,,
"(6, '14,0')",85.57,3.0,,,,
"(6, '15,2')",90.37,,,,,
"(6, '11,0')",105.02,2.0,,,,
"(6, '11,1')",105.02,1.0,,,,
"(6, '10,0')",111.02,1.0,,,,
"(6, '15,0')",128.49,,,,,
"(6, '14,1')",133.29,1.0,,,,
"(6, '12,0')",138.09,2.0,,,,
"(6, '8,0')",147.69,2.0,,,,
"(6, '11,2')",158.75,1.0,,,,
"(6, '11,3')",158.75,1.0,,,,
"(6, '15,1')",173.4,,,,,
"(6, '6,0')",200.76,3.0,,,,
"(6, '15,4')",228.12,,,,,
"(7, '8,1')",16.8,2.0,,,,
"(7, '15,2')",36.0,,,,,
"(7, '14,0')",40.8,4.0,,,,
"(7, '12,1')",45.6,5.0,,,,
"(7, '10,0')",82.95,5.0,,,,
"(7, '13,0')",95.71,3.0,,,,
"(7, '13,1')",99.72,3.0,,,,
"(7, '15,0')",107.77,,,,,
"(7, '12,0')",117.37,2.0,,,,
"(7, '12,2')",117.37,3.0,,,,
"(7, '8,0')",126.97,2.0,,,,
"(7, '7,0')",131.92,2.0,,,,
"(7, '7,1')",131.92,3.0,,,,
"(7, '11,0')",147.57,1.0,,,,
"(7, '11,1')",147.57,1.0,,,,
"(7, '15,1')",162.22,,,,,
"(7, '11,2')",176.87,4.0,,,,
"(7, '15,3')",191.52,,,,,
"(7, '3,0')",222.93,3.0,,,,
"(7, '15,4')",254.34,,,,,
"(8, '4,0')",6.43,3.0,4.0,,,
"(8, '15,3')",37.63,,,,,
"(8, '14,0')",42.43,3.0,4.0,,,
"(8, '15,2')",47.58,1.0,,,,
"(8, '14,1')",52.38,,,,,
"(8, '13,0')",56.71,8.0,,,,
"(8, '13,1')",56.71,4.0,1.0,,,
"(8, '10,0')",88.3,3.0,,,,
"(8, '7,0')",98.55,4.0,,,,
"(8, '15,0')",119.51,,,,,
"(8, '15,1')",119.51,2.0,1.0,,,
"(8, '11,0')",134.16,2.0,,,,
"(8, '15,4')",148.81,1.0,,,,
"(8, '6,0')",176.17,,,,,
"(8, '1,0')",188.17,,,,,
"(8, '3,0')",194.17,4.0,,,,
"(8, '3,1')",194.17,2.0,,,,
"(8, '15,5')",225.58,,,,,
"(9, '10,0')",19.79,4.0,,,,
"(9, '15,0')",37.26,1.0,,,,
"(9, '13,0')",45.31,,,,,
"(9, '14,0')",49.64,2.0,,,,
"(9, '15,1')",61.37,1.0,,,,
"(9, '8,1')",81.04,3.0,,,,
"(9, '5,0')",93.33,4.0,,,,
"(9, '4,0')",98.13,,,,,
"(9, '4,1')",98.13,2.0,,,,
"(9, '1,0')",102.93,2.0,,,,
"(9, '1,1')",103.31,3.0,,,,
"(9, '8,0')",120.11,3.0,,,,
"(9, '5,1')",127.31,1.0,,,,
"(9, '7,0')",134.99,2.0,,,,
"(9, '15,2')",155.95,,,,,
"(9, '11,0')",170.6,2.0,,,,
"(9, '11,1')",170.6,2.0,,,,
"(9, '15,3')",185.25,,,,,
"(9, '3,0')",216.66,3.0,,,,
"(9, '15,4')",248.07,,,,,
"(10, '10,0')",22.98,4.0,,,,
"(10, '15,0')",40.45,,,,,
"(10, '15,1')",40.45,1.0,,,,
"(10, '12,0')",62.41,1.0,,,,
"(10, '13,0')",66.74,,,,,
"(10, '1,0')",95.76,4.0,,,,
"(10, '1,1')",95.76,3.0,,,,
"(10, '2,0')",102.22,2.0,,,,
"(10, '2,1')",102.22,2.0,,,,
"(10, '8,0')",117.82,4.0,,,,
"(10, '5,0')",125.02,1.0,,,,
"(10, '5,1')",125.02,4.0,,,,
"(10, '15,2')",151.42,,,,,
"(10, '11,0')",166.07,2.0,,,,
"(10, '11,1')",166.07,5.0,,,,
"(10, '15,3')",180.72,,,,,
"(10, '9,0')",197.52,3.0,,,,
"(10, '15,4')",214.32,,,,,
"(11, '5,0')",9.6,2.0,,,,
"(11, '15,5')",36.0,,,,,
"(11, '14,2')",40.8,3.0,,,,
"(11, '15,3')",45.6,,,,,
"(11, '14,1')",50.4,2.0,,,,
"(11, '15,2')",55.2,,,,,
"(11, '13,0')",63.25,2.0,2.0,,,
"(11, '12,0')",69.73,5.0,,,,
"(11, '10,0')",93.5,2.0,,,,
"(11, '9,1')",98.3,2.0,,,,
"(11, '15,0')",115.1,,,,,
"(11, '14,0')",119.9,1.0,,,,
"(11, '15,1')",124.7,,,,,
"(11, '13,1')",132.75,3.0,,,,
"(11, '15,4')",140.8,,,,,
"(11, '4,0')",172.0,6.0,,,,
"(11, '6,0')",180.65,2.0,,,,
"(11, '6,1')",180.65,3.0,,,,
"(11, '9,0')",192.65,2.0,,,,
"(11, '15,6')",209.45,,,,,
"(12, '12,2')",26.4,2.0,,,,
"(12, '15,3')",36.0,,,,,
"(12, '12,1')",45.6,5.0,2.0,1.0,,
"(12, '14,0')",50.4,,,,,
"(12, '15,2')",55.2,,,,,
"(12, '9,0')",72.0,3.0,,,,
"(12, '7,0')",84.97,5.0,4.0,,,
"(12, '7,1')",89.98,3.0,,,,
"(12, '9,1')",95.98,1.0,,,,
"(12, '10,0')",107.23,4.0,,,,
"(12, '15,0')",124.7,,,,,
"(12, '12,0')",134.3,2.0,,,,
"(12, '15,1')",143.9,1.0,1.0,,,
"(12, '10,1')",161.37,,,,,
"(12, '8,0')",166.74,,,,,
"(12, '11,0')",177.8,3.0,,,,
"(12, '15,4')",192.45,,,,,
"(12, '3,0')",223.86,4.0,,,,
"(12, '15,5')",255.27,,,,,
"(13, '10,0')",19.79,2.0,,,,
"(13, '15,0')",37.26,,,,,
"(13, '15,1')",37.26,1.0,,,,
"(13, '13,0')",45.31,,,,,
"(13, '8,0')",57.84,4.0,,,,
"(13, '5,0')",69.77,2.0,,,,
"(13, '1,0')",79.37,4.0,3.0,,,
"(13, '1,1')",79.37,3.0,,,,
"(13, '2,0')",85.83,2.0,,,,
"(13, '2,1')",95.03,2.0,,,,
"(13, '15,2')",129.16,,,,,
"(13, '7,0')",150.12,2.0,,,,
"(13, '15,3')",171.08,1.0,1.0,,,
"(13, '7,1')",192.04,,,,,
"(13, '6,0')",198.5,,,,,
"(13, '3,0')",210.32,3.0,,,,
"(13, '3,1')",210.32,3.0,,,,
"(13, '15,4')",241.73,,,,,
"(14, '4,1')",24.5,3.0,4.0,,,
"(14, '15,3')",55.7,,,,,
"(14, '11,0')",70.35,4.0,,,,
"(14, '9,0')",81.38,1.0,,,,
"(14, '4,0')",95.78,2.0,3.0,2.0,4.0,4.0
"(14, '15,2')",126.98,,,,,
"(14, '10,0')",144.45,4.0,,,,
"(14, '15,0')",161.92,,,,,
"(14, '7,0')",182.88,2.0,,,,
"(14, '6,0')",189.34,1.0,,,,
"(14, '6,1')",189.34,2.0,,,,
"(14, '15,1')",216.7,,,,,
"(15, '10,0')",19.79,2.0,,,,
"(15, '15,0')",37.26,,,,,
"(15, '15,1')",37.26,1.0,,,,
"(15, '12,0')",47.72,2.0,,,,
"(15, '8,0')",57.32,3.0,,,,
"(15, '7,0')",62.27,2.0,,,,
"(15, '5,0')",69.95,,,,,
"(15, '5,1')",69.95,1.0,,,,
"(15, '4,0')",77.62,1.0,,,,
"(15, '1,0')",82.42,4.0,,,,
"(15, '1,1')",82.42,1.0,,,,
"(15, '8,1')",99.22,2.0,,,,
"(15, '12,1')",108.82,4.0,,,,
"(15, '15,2')",118.42,1.0,,,,
"(15, '9,0')",135.22,,,,,
"(15, '1,2')",154.42,3.0,,,,
"(15, '6,0')",166.42,2.0,,,,
"(15, '6,1')",166.42,1.0,,,,
"(15, '9,1')",178.42,3.0,,,,
"(15, '9,2')",178.42,2.0,,,,
"(15, '15,3')",195.22,,,,,
"(15, '3,0')",226.63,3.0,,,,
"(15, '15,4')",258.04,,,,,
"(16, '13,0')",29.02,4.0,,,,
"(16, '15,2')",37.07,,,,,
"(16, '7,0')",58.03,5.0,,,,
"(16, '5,2')",65.71,3.0,,,,
"(16, '1,0')",75.31,3.0,,,,
"(16, '5,1')",84.91,6.0,,,,
"(16, '5,3')",84.91,3.0,,,,
"(16, '15,0')",111.31,1.0,,,,
"(16, '14,0')",116.11,1.0,,,,
"(16, '5,0')",137.71,,,,,
"(16, '1,1')",147.31,2.0,,,,
"(16, '6,0')",159.31,2.0,,,,
"(16, '6,1')",159.31,4.0,,,,
"(16, '9,0')",171.31,3.0,,,,
"(16, '9,1')",171.31,2.0,,,,
"(16, '15,1')",188.11,,,,,
"(16, '3,0')",219.52,2.0,,,,
"(16, '15,3')",250.93,,,,,
